X1,Z1,X3,Z3,X5,Z5,X7,Z7
2.42E-05,-1.57E-05,1.66E-05,2.77E-05,-2.55E-05,1.37E-05,-6.74E-05,-1.44E-05
2.04E-05,-2.05E-05,1.37E-05,2.41E-05,-2.74E-05,1.17E-05,-6.77E-05,-1.11E-05
1.42E-05,-2.45E-05,9.04E-06,2.05E-05,-2.71E-05,8.01E-06,-6.54E-05,-9.07E-06
6.25E-06,-2.81E-05,2.96E-06,1.65E-05,-2.51E-05,3.25E-06,-6.14E-05,-8.52E-06
-2.73E-06,-3.12E-05,-3.91E-06,1.24E-05,-2.21E-05,-2.16E-06,-5.65E-05,-9.81E-06
-1.19E-05,-3.39E-05,-1.04E-05,8.69E-06,-1.91E-05,-7.86E-06,-5.16E-05,-1.32E-05
-2.05E-05,-3.62E-05,-1.55E-05,5.92E-06,-1.67E-05,-1.35E-05,-4.71E-05,-1.86E-05
-2.75E-05,-3.77E-05,-1.84E-05,4.46E-06,-1.54E-05,-1.87E-05,-4.32E-05,-2.54E-05
-3.18E-05,-3.84E-05,-1.90E-05,4.37E-06,-1.53E-05,-2.30E-05,-3.97E-05,-3.29E-05
-3.29E-05,-3.81E-05,-1.75E-05,5.43E-06,-1.63E-05,-2.61E-05,-3.65E-05,-4.02E-05
-3.04E-05,-3.68E-05,-1.43E-05,7.29E-06,-1.82E-05,-2.80E-05,-3.35E-05,-4.65E-05
-2.47E-05,-3.47E-05,-9.60E-06,9.68E-06,-2.06E-05,-2.89E-05,-3.09E-05,-5.15E-05
-1.64E-05,-3.17E-05,-3.80E-06,1.24E-05,-2.29E-05,-2.90E-05,-2.88E-05,-5.49E-05
-6.52E-06,-2.79E-05,2.72E-06,1.54E-05,-2.46E-05,-2.85E-05,-2.75E-05,-5.67E-05
3.81E-06,-2.36E-05,9.46E-06,1.83E-05,-2.56E-05,-2.75E-05,-2.72E-05,-5.67E-05
1.36E-05,-1.87E-05,1.60E-05,2.11E-05,-2.57E-05,-2.60E-05,-2.81E-05,-5.52E-05
2.21E-05,-1.36E-05,2.20E-05,2.34E-05,-2.52E-05,-2.43E-05,-3.04E-05,-5.23E-05
2.90E-05,-8.22E-06,2.67E-05,2.50E-05,-2.45E-05,-2.26E-05,-3.40E-05,-4.85E-05
3.41E-05,-2.73E-06,2.95E-05,2.54E-05,-2.38E-05,-2.16E-05,-3.87E-05,-4.40E-05
3.73E-05,2.69E-06,2.96E-05,2.43E-05,-2.34E-05,-2.15E-05,-4.40E-05,-3.95E-05
3.87E-05,7.83E-06,2.67E-05,2.18E-05,-2.31E-05,-2.24E-05,-4.95E-05,-3.53E-05
3.82E-05,1.25E-05,2.09E-05,1.83E-05,-2.33E-05,-2.45E-05,-5.48E-05,-3.19E-05
3.64E-05,1.68E-05,1.31E-05,1.47E-05,-2.41E-05,-2.75E-05,-5.94E-05,-2.99E-05
3.39E-05,2.08E-05,4.36E-06,1.13E-05,-2.56E-05,-3.11E-05,-6.33E-05,-2.96E-05
3.16E-05,2.46E-05,-3.94E-06,8.56E-06,-2.76E-05,-3.46E-05,-6.59E-05,-3.13E-05
3.00E-05,2.82E-05,-1.05E-05,6.79E-06,-2.99E-05,-3.71E-05,-6.72E-05,-3.49E-05
2.92E-05,3.14E-05,-1.44E-05,6.08E-06,-3.19E-05,-3.77E-05,-6.69E-05,-4.01E-05
2.93E-05,3.38E-05,-1.50E-05,6.38E-06,-3.31E-05,-3.60E-05,-6.49E-05,-4.62E-05
3.02E-05,3.49E-05,-1.25E-05,7.49E-06,-3.32E-05,-3.17E-05,-6.15E-05,-5.23E-05
3.16E-05,3.44E-05,-7.49E-06,9.07E-06,-3.23E-05,-2.50E-05,-5.70E-05,-5.77E-05
3.33E-05,3.21E-05,-1.04E-06,1.06E-05,-3.03E-05,-1.64E-05,-5.21E-05,-6.20E-05
3.52E-05,2.84E-05,5.73E-06,1.18E-05,-2.75E-05,-6.45E-06,-4.75E-05,-6.50E-05
3.67E-05,2.36E-05,1.18E-05,1.22E-05,-2.42E-05,3.94E-06,-4.40E-05,-6.67E-05
3.75E-05,1.85E-05,1.62E-05,1.16E-05,-2.06E-05,1.40E-05,-4.19E-05,-6.73E-05
3.74E-05,1.40E-05,1.85E-05,1.01E-05,-1.68E-05,2.30E-05,-4.14E-05,-6.68E-05
3.62E-05,1.07E-05,1.84E-05,7.80E-06,-1.31E-05,3.02E-05,-4.25E-05,-6.54E-05
3.41E-05,9.15E-06,1.64E-05,5.04E-06,-9.93E-06,3.51E-05,-4.52E-05,-6.32E-05
3.15E-05,9.70E-06,1.33E-05,2.28E-06,-7.61E-06,3.71E-05,-4.90E-05,-6.05E-05
2.88E-05,1.22E-05,1.00E-05,-8.15E-08,-6.66E-06,3.60E-05,-5.34E-05,-5.74E-05
2.62E-05,1.62E-05,7.41E-06,-1.90E-06,-7.40E-06,3.18E-05,-5.80E-05,-5.43E-05
2.35E-05,2.06E-05,5.80E-06,-3.44E-06,-9.88E-06,2.51E-05,-6.19E-05,-5.13E-05
2.05E-05,2.45E-05,5.24E-06,-5.24E-06,-1.40E-05,1.68E-05,-6.49E-05,-4.85E-05
1.70E-05,2.72E-05,5.65E-06,-7.91E-06,-1.94E-05,7.85E-06,-6.66E-05,-4.57E-05
1.30E-05,2.83E-05,6.86E-06,-1.20E-05,-2.56E-05,-7.12E-07,-6.69E-05,-4.28E-05
8.49E-06,2.75E-05,8.69E-06,-1.77E-05,-3.20E-05,-8.00E-06,-6.59E-05,-3.96E-05
3.73E-06,2.50E-05,1.10E-05,-2.45E-05,-3.77E-05,-1.33E-05,-6.39E-05,-3.60E-05
-9.14E-07,2.10E-05,1.37E-05,-3.15E-05,-4.21E-05,-1.61E-05,-6.13E-05,-3.21E-05
-4.87E-06,1.61E-05,1.63E-05,-3.77E-05,-4.43E-05,-1.62E-05,-5.87E-05,-2.87E-05
-7.49E-06,1.10E-05,1.83E-05,-4.23E-05,-4.38E-05,-1.37E-05,-5.67E-05,-2.62E-05
-8.39E-06,6.78E-06,1.94E-05,-4.48E-05,-4.07E-05,-9.00E-06,-5.55E-05,-2.54E-05
-7.54E-06,3.99E-06,1.92E-05,-4.52E-05,-3.52E-05,-2.62E-06,-5.53E-05,-2.67E-05
-5.23E-06,3.02E-06,1.75E-05,-4.37E-05,-2.77E-05,4.91E-06,-5.59E-05,-3.03E-05
-2.02E-06,3.85E-06,1.46E-05,-4.06E-05,-1.91E-05,1.31E-05,-5.71E-05,-3.63E-05
1.44E-06,6.15E-06,1.05E-05,-3.65E-05,-1.02E-05,2.15E-05,-5.87E-05,-4.42E-05
4.57E-06,9.45E-06,5.44E-06,-3.20E-05,-1.73E-06,2.97E-05,-6.04E-05,-5.31E-05
6.88E-06,1.32E-05,-2.46E-07,-2.77E-05,5.19E-06,3.69E-05,-6.20E-05,-6.17E-05
7.93E-06,1.69E-05,-6.12E-06,-2.40E-05,9.72E-06,4.26E-05,-6.32E-05,-6.85E-05
7.43E-06,1.98E-05,-1.17E-05,-2.13E-05,1.13E-05,4.62E-05,-6.40E-05,-7.24E-05
5.33E-06,2.16E-05,-1.67E-05,-1.97E-05,9.65E-06,4.75E-05,-6.43E-05,-7.27E-05
1.80E-06,2.20E-05,-2.07E-05,-1.95E-05,5.14E-06,4.66E-05,-6.39E-05,-6.91E-05
-2.77E-06,2.10E-05,-2.39E-05,-2.07E-05,-1.65E-06,4.41E-05,-6.29E-05,-6.17E-05
-7.79E-06,1.90E-05,-2.61E-05,-2.33E-05,-1.01E-05,4.03E-05,-6.12E-05,-5.12E-05
